Nome do Arquivo,Frase Original,Frase XTTS,Distancia XTTS,Similaridade XTTS,Quality (MOSA_NET) XTTS,Inteligibility(MOSA_NET) XTTS,Frase Your_tts,Distancia Your_tts,Similaridade Your_tts,Quality (MOSA_NET) Your_tts,Inteligibility(MOSA_NET) Your_tts
178.wav,a intenção é ter o apoio do governante,a intenção é ter o apoio do governante,0,1.0,4.56,1,a intenção é ter o apoio do governante,0,1.0,4.57,1
179.wav,a fila aumentou ao longo do dia,a fila aumentou ao longo do dia,0,1.0,4.57,1,a fila aumentou ao longo do dia,0,1.0,4.58,1
180.wav,à noite a temperatura deve ir a zero,a noite a temperatura deve ir a zero,1,0.97,4.40,1,à noite a temperatura deve ir a zero,0,1.0,4.00,0.99
181.wav,a proposta foi inspecionada pela gerência,a proposta foi inspecionada pela gerência,0,1.0,4.54,1,a proposta foi inspecionada pela gerência,0,1.0,4.56,1
182.wav,os quadros azuis mostram o codidiano,os quadros azuis mostram o cotidiano,1,0.97,4.56,1,os quadros azuis mostram o cotidiano,1,0.97,4.05,0.99
183.wav,já era tarde quando ele me abordou,já era tarde quando ele me abordou,0,1.0,4.56,1,já era tarde quando ele me abordou,0,1.0,4.48,1
184.wav,o canário canta ao amanhecer,o canário canta amanhecer,3,0.94,4.60,1,o canário canta ao amanhecer,0,1.0,4.24,0.99
185.wav,a lojinha não fica na esquina,a lojinha não fica na esquina,0,1.0,4.61,1,gauchinha não fica na esquina,5,0.86,3.62,0.98
186.wav,meu bom time se consagrou como o melhor,meu bom time se consagrou como melhor,2,0.97,4.57,1,belmonte messi com sarou como melhor,15,0.69,3.77,0.98
187.wav,o instituto deve servir a sua meta,o instituto deve servir a sua meta,0,1.0,4.60,1,o instituto deve servir a sua meta,0,1.0,4.14,0.99
188.wav,ele não entende nem quando se fala pausadamente,ele não entende nem quando se fala pausadamente,0,1.0,4.51,1,ele não entende nem quando se fala pausadamente,0,1.0,4.54,1
189.wav,seu limite do cheque azul foi aumentado,seu limite do cheque azul foi aumentado,0,1.0,4.61,1,seu limite do cheque azul foi aumentado,0,1.0,4.54,1
190.wav,o termômetro indicava o calor,o termômetro indicava o calor,0,1.0,4.61,1,o termômetro indicava o calor,0,1.0,4.19,0.99
191.wav,o discurso de abertura tem que ser longo,o discurso de abertura tem que ser longo,0,1.0,4.59,1,o discurso de abertura tem que ser longo,0,1.0,4.47,0.99
192.wav,eu precisei de tempo na conferência,eu precisei de tempo na conferência,0,1.0,4.65,1,eu precisei de tempo na conferência,0,1.0,4.55,1
193.wav,zeca marcou a temporada de jogos,zeca marcou a temporada de jogos,0,1.0,4.57,1,seca marcou a temporada de jogos,1,0.97,4.47,1
194.wav,nada como um almoço ao ar livre,nada como um almoço ao ar livre,0,1.0,4.50,1,nada como um almoço ao ar livre,0,1.0,4.28,0.99
195.wav,nossa filha é a primeira da classe,nossa filha é a primeira da classe,0,1.0,4.59,1,nossa filha é a primeira da classe,0,1.0,4.52,1
196.wav,gostaria de chamar meu pai,gostaria de chamar meu pai,0,1.0,4.58,1,gostaria de chamar meu pai,0,1.0,"4.56",1
197.wav,não tive uma prova cansativa,não tive uma prova cansativa,0,1.0,4.63,1,não tive uma prova cansativa,0,1.0,4.46,1
198.wav,ainda tenho cinco telefonemas pra dar,ainda tenho cinco telefonemas para dar,1,0.99,4.56,1,ainda tenho cinco telefonemas para dar,1,0.99,4.61,1
199.wav,os hotéis do sudoeste são fantásticos,os hotéis do sudoeste são fantásticos,0,1.0,4.63,1,os hotéis do sudoeste são fantásticos,0,1.0,4.58,1
